exposure	pt	model	term	estimate	std.error	statistic	p.value	r2	window
Niarchou2020fish	5e-08	GWS	(Intercept)	0.7688343282414903	0.14989467222355504	5.12916381107155	2.910320131874926e-7	0.001	10000
Niarchou2020fish	5e-08	GWS	`prs.pt_5e-08`	0.00948898599399854	0.014208087670488232	0.6678580688735622	0.5042241953676123	0.001	10000
Niarchou2020fish	5e-08	GWS	aaoaae2	-0.017706544992537526	0.0018884662324028508	-9.376151232531193	6.842491699615417e-21	0.001	10000
Niarchou2020fish	5e-08	GWS	sex2	-0.057232646351882015	0.028703831791961627	-1.993902652673353	0.04616269401227528	0.001	10000
Niarchou2020fish	5e-08	GWS	apoe4dose	1.2702266207037602	0.026288878625512383	48.3180221871865	0	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC1	0.9992267793570856	0.07263893767698039	13.75607644209457	4.682587933417198e-43	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortUPITT	0.3924062725480152	0.06915735790399001	5.674107346506588	1.3941369374309513e-8	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortACT	-0.7583935753686795	0.07294993938318883	-10.39608232414035	2.583371711053291e-25	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortLOAD	-0.039746808519036496	0.06912991179313438	-0.5749581836293323	0.5653195781605199	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortMAYO	-0.5435477857922982	0.07199386236721156	-7.549918394708162	4.355310496118176e-14	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC9	0.3898944395441389	0.07217069793543233	5.402392531841091	6.575785493495622e-8	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC7	-0.573613081569469	0.077447294485203	-7.406496061383563	1.2968009228047289e-13	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC10	0.27103169676451166	0.0814491418690051	3.3276188127360844	8.759162912112163e-4	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC3	0.1613068773817607	0.07976032978533452	2.02239481476442	0.04313558032424614	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortTGEN2	0.5626935237126197	0.08603595318475131	6.5402137465055645	6.143097144409193e-11	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortROSMAP	-0.43015382573956	0.09114998150239771	-4.719187197292462	2.367888463526631e-6	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC8	-0.20247641895323829	0.08654223356290783	-2.3396255286854544	0.01930308349797724	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC5	-0.6207199372272819	0.09453543029153849	-6.566003193861172	5.168370774627506e-11	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortMIRAGE	0.390147141896265	0.09838863982222715	3.965367776210747	7.328286692519307e-5	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC2	1.3020311199042602	0.11072200093330571	11.759461614937297	6.313559218704622e-32	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC4	-0.23542666621016525	0.09814416888233846	-2.3987840428136886	0.01644961296073366	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortWHICAP	-1.8454499658742984	0.14312352581503543	-12.89410636976098	4.858624762753056e-38	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortUKS	4.440135761198835	0.3834390722465694	11.579768684458996	5.218668024344795e-31	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADC6	-0.48452046812841726	0.10666825882232087	-4.542311588075055	5.5640718911217496e-6	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortWASHU	0.5800981350022093	0.10980028487799881	5.283211565860393	1.2693865292740444e-7	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortTARC1	0.46295882444416026	0.11162702148093245	4.147372368286656	3.3631283980916037e-5	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortADNI	0.357785199120322	0.11635674815711694	3.0748985751750584	0.0021057414974344196	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortMTV	0.6438278441935641	0.13296678697892275	4.8420200173417784	1.2852581278951618e-6	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortOHSU	0.3136269212674425	0.14073746115490784	2.2284537371484734	0.025850273074931956	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortRMayo	-2.6487900176553594	0.30805573823359333	-8.598411549947587	8.082699487722112e-18	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortCHAP	-1.4374771854248565	0.22654576499399592	-6.345195574337722	2.221430583998439e-10	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortEAS	-2.584928477640423	0.35374702810180164	-7.307279700725937	2.7260473810899954e-13	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortROSMAP2	0.058839086822520856	0.20262697568266114	0.2903813109004308	0.7715245397868724	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortBIOCARD	-3.1748788274635005	0.43282702875148027	-7.335213876595599	2.2136768619296605e-13	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortWASHU2	-0.6967734089557295	0.2255689818132725	-3.088959321244457	0.002008589390968409	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortNBB	0.7703118975000255	0.2532199989745745	3.0420657950376646	0.00234960530265559	0.001	10000
Niarchou2020fish	5e-08	GWS	cohortACT2	1.2838241059737694	0.45968836383378164	2.792814017015202	0.005225172456786454	0.001	10000
