exposure	pt	model	term	estimate	std.error	statistic	p.value	r2	window
Niarchou2020meat	5e-08	GWS	(Intercept)	0.7701529085028886	0.14989603364302817	5.13791385792755	2.7780516580499185e-7	0.001	10000
Niarchou2020meat	5e-08	GWS	`prs.pt_5e-08`	-0.01516296744276958	0.014136933738004844	-1.0725782354066222	0.2834603942996498	0.001	10000
Niarchou2020meat	5e-08	GWS	aaoaae2	-0.01772403192582787	0.0018885065875160418	-9.385210537782843	6.27908678499215e-21	0.001	10000
Niarchou2020meat	5e-08	GWS	sex2	-0.05735827163939113	0.028703145066731703	-1.9983270650668896	0.04568121310737762	0.001	10000
Niarchou2020meat	5e-08	GWS	apoe4dose	1.270161512234923	0.02629031444559246	48.31290682595331	0	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC1	0.9987970483814474	0.07263448157423659	13.75100402362781	5.022760353454696e-43	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortUPITT	0.39241339262938857	0.06915772421766213	5.674180246219994	1.3935434475316763e-8	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortACT	-0.757216804801598	0.07295004563929623	-10.379935998199096	3.0598024619918835e-25	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortLOAD	-0.03948541709367114	0.06912820860522255	-0.5711910939160091	0.5678701146459015	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortMAYO	-0.5436376360078212	0.07199222025040088	-7.551338660162993	4.308069934897022e-14	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC9	0.3901916616430333	0.0721706025596261	5.4065179976939195	6.426177276892712e-8	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC7	-0.5733258928391958	0.07745165925279836	-7.402370696383516	1.3377443256159887e-13	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC10	0.26997746356059554	0.0814592649822337	3.314263437307932	9.188489338088114e-4	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC3	0.16113245821841135	0.07975780285738726	2.0202720291396177	0.04335517847848859	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortTGEN2	0.563075205033973	0.08603124998565233	6.545007832943013	5.949226743766567e-11	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortROSMAP	-0.42978929088219586	0.09114879624220233	-4.7152492254549525	2.4141506508633502e-6	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC8	-0.20233678298900298	0.08654109474896877	-2.3380427943039632	0.019385028289620135	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC5	-0.6219012059958614	0.094551713288278	-6.5773658072144245	4.7885568527062655e-11	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortMIRAGE	0.3893500547125621	0.09837482296029075	3.9578221642109006	7.563623525559997e-5	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC2	1.3013151801803056	0.11072954735881076	11.75219452458784	6.880833362208161e-32	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC4	-0.23606899364281062	0.09814279631995311	-2.405362415731537	0.016156434335537307	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortWHICAP	-1.8446424225919298	0.14312034901076373	-12.888750169643583	5.208100105406599e-38	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortUKS	4.442359430586509	0.38344644174513826	11.585345297164528	4.889921375083431e-31	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADC6	-0.48448688214338886	0.106676868060525	-4.541630167362119	5.582090309563028e-6	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortWASHU	0.580645808347557	0.10980357495215075	5.288041018706228	1.236332581596372e-7	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortTARC1	0.4625951922697455	0.11162109726029362	4.1443347505445285	3.408016063241616e-5	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortADNI	0.35851973770409806	0.11633828910169595	3.0817002766019845	0.002058219658248264	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortMTV	0.6445969672652698	0.13298045750470297	4.847305982854459	1.2514932594840817e-6	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortOHSU	0.3118312353230961	0.14075340109097734	2.215443697318127	0.0267296248310315	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortRMayo	-2.6462454727700906	0.3080574408541058	-8.59010405797449	8.6890595587443e-18	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortCHAP	-1.4366037549815447	0.226512358582355	-6.342275379465561	2.2639616158828877e-10	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortEAS	-2.5844181215358133	0.3537924794195821	-7.3048984132610935	2.774763008529772e-13	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortROSMAP2	0.061545543324743004	0.20264518971979667	0.3037108524996019	0.7613481892336627	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortBIOCARD	-3.1739096727923943	0.4328560548896007	-7.332483020485633	2.259271032896547e-13	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortWASHU2	-0.6977070013768292	0.2255561639051143	-3.093273929194578	0.001979613155434239	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortNBB	0.7727732708424687	0.25334669138634425	3.0502599683215057	0.0022864336122495094	0.001	10000
Niarchou2020meat	5e-08	GWS	cohortACT2	1.292718130158675	0.45985494493028417	2.8111432624795545	0.004936579980843899	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC1	-12.405793586869054	2.5668064605435794	-4.833162833882632	1.343807821129962e-6	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC2	2.454843437622375	2.43021906415039	1.0101325735754583	0.31243177800383776	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC3	2.5610024276608936	2.4168706622455893	1.0596356965504257	0.28931036727226006	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC4	-2.3987040394881514	2.446467225614085	-0.9804766703490398	0.32685088008085605	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC5	1.6154767416465525	2.4286685223230213	0.6651697120450794	0.5059419504599271	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC6	-0.8271368087160638	2.492940909877478	-0.3317915821585661	0.7400466410357354	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC7	10.542515284210351	2.434892517005153	4.32976618498846	1.4926774373373974e-5	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC8	7.226460630660207	2.434721471225017	2.9680851448787084	0.0029966130950928455	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC9	-0.09037849175310983	2.446058593064068	-0.03694862094039078	0.9705259722879089	0.001	10000
Niarchou2020meat	5e-08	GWS	jointPC10	-4.90902413302733	2.446583312166888	-2.0064814913985125	0.0448049015331488	0.001	10000
Niarchou2020meat	1e-06	best	(Intercept)	0.768674765711102	0.14990103219527065	5.127881739398414	2.9302040320397585e-7	0.001	10000
Niarchou2020meat	1e-06	best	`prs.pt_1e-06`	-0.027210301098833534	0.014225469269958229	-1.912787591218313	0.05577525035687498	0.001	10000
Niarchou2020meat	1e-06	best	aaoaae2	-0.017705649914638945	0.0018885939775124506	-9.375043087853022	6.914752091380786e-21	0.001	10000
Niarchou2020meat	1e-06	best	sex2	-0.057293116307623924	0.028704585750434927	-1.9959569110575244	0.045938613160493295	0.001	10000
Niarchou2020meat	1e-06	best	apoe4dose	1.2700793023071293	0.026290994245918776	48.308530686483536	0	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC1	0.99908145282894	0.07263682419969936	13.754475967756795	4.787369309076777e-43	0.001	10000
Niarchou2020meat	1e-06	best	cohortUPITT	0.39251121296966135	0.06915879762771111	5.67550660846635	1.3827880496409616e-8	0.001	10000
Niarchou2020meat	1e-06	best	cohortACT	-0.7569710931571247	0.0729478642396866	-10.376878076511275	3.159381007062332e-25	0.001	10000
Niarchou2020meat	1e-06	best	cohortLOAD	-0.03914094226360297	0.06913057092495771	-0.5661886158309188	0.5712655679494674	0.001	10000
Niarchou2020meat	1e-06	best	cohortMAYO	-0.5441375911015794	0.07199049171462664	-7.558464710292075	4.0785463108449914e-14	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC9	0.3905044289865516	0.07217214450398302	5.4107361180739275	6.276620420250874e-8	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC7	-0.5727206436529213	0.0774601806470155	-7.393742680033214	1.4275254498210325e-13	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC10	0.2703369496794228	0.08146644186838543	3.3183841527799935	9.053987059134623e-4	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC3	0.16125911602165302	0.07975338821480102	2.0219719767557884	0.043179246988300383	0.001	10000
Niarchou2020meat	1e-06	best	cohortTGEN2	0.5632541547158487	0.0860298586791685	6.54719376927486	5.862827457279142e-11	0.001	10000
Niarchou2020meat	1e-06	best	cohortROSMAP	-0.42993068825905395	0.09115280797817431	-4.716592914636232	2.3982686890963024e-6	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC8	-0.20177563830846212	0.08654348647630637	-2.3314942178081037	0.01972731461258177	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC5	-0.6229210081232637	0.09456078409691997	-6.587519488890886	4.472352954404187e-11	0.001	10000
Niarchou2020meat	1e-06	best	cohortMIRAGE	0.3882774172849593	0.09837208025431453	3.94702863130649	7.912709757398759e-5	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC2	1.3027147617152737	0.11075555763185481	11.762071263687044	6.121390716788976e-32	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC4	-0.23578711050926038	0.0981423048685799	-2.40250227284755	0.016283333371806947	0.001	10000
Niarchou2020meat	1e-06	best	cohortWHICAP	-1.8444827168592686	0.1431283167672454	-12.886916848597874	5.333369693991838e-38	0.001	10000
Niarchou2020meat	1e-06	best	cohortUKS	4.443551707272897	0.38344726169222954	11.58842988645326	4.717000202213934e-31	0.001	10000
Niarchou2020meat	1e-06	best	cohortADC6	-0.48401939468266564	0.10668139520702127	-4.537055348248855	5.704513905111398e-6	0.001	10000
Niarchou2020meat	1e-06	best	cohortWASHU	0.5805425434481515	0.10981640411513707	5.286482908687133	1.2469046032940978e-7	0.001	10000
Niarchou2020meat	1e-06	best	cohortTARC1	0.46344406087715834	0.11164502483819418	4.151049825541464	3.309537007258305e-5	0.001	10000
Niarchou2020meat	1e-06	best	cohortADNI	0.3583757429602484	0.11634830767555149	3.080197298267662	0.002068635112677654	0.001	10000
Niarchou2020meat	1e-06	best	cohortMTV	0.6442478140213528	0.13298172174188025	4.844634327053222	1.268450771986842e-6	0.001	10000
Niarchou2020meat	1e-06	best	cohortOHSU	0.31121146046200004	0.14074441326479764	2.21118162520941	0.027023262286435937	0.001	10000
Niarchou2020meat	1e-06	best	cohortRMayo	-2.6447287024671904	0.3081315864069178	-8.583114549556656	9.23383241015227e-18	0.001	10000
Niarchou2020meat	1e-06	best	cohortCHAP	-1.4366886234462695	0.2264768882264141	-6.343643427359259	2.2439386387917504e-10	0.001	10000
Niarchou2020meat	1e-06	best	cohortEAS	-2.583467693224046	0.35379310540707365	-7.302199092465392	2.8310193481191235e-13	0.001	10000
Niarchou2020meat	1e-06	best	cohortROSMAP2	0.061582396853174945	0.20267669268605082	0.3038454794038256	0.761245616172177	0.001	10000
Niarchou2020meat	1e-06	best	cohortBIOCARD	-3.1749911871074796	0.43285807575703417	-7.334947330148973	2.218086993470294e-13	0.001	10000
Niarchou2020meat	1e-06	best	cohortWASHU2	-0.7009369202157971	0.22555580418724522	-3.1075986838002807	0.0018861400222651454	0.001	10000
Niarchou2020meat	1e-06	best	cohortNBB	0.7699038714947577	0.2533534379084385	3.0388530657042025	0.0023748065006698993	0.001	10000
Niarchou2020meat	1e-06	best	cohortACT2	1.296168461621137	0.4597881854968924	2.819055605398755	0.004816517352031304	0.001	10000
Niarchou2020meat	1e-06	best	jointPC1	-12.025673992053433	2.5763947167570183	-4.667636489796289	3.0468434137221655e-6	0.001	10000
Niarchou2020meat	1e-06	best	jointPC2	2.5232569883318057	2.429954254597482	1.0383969095540768	0.29908530776460823	0.001	10000
Niarchou2020meat	1e-06	best	jointPC3	2.634372364067339	2.417291839917298	1.0898031923846927	0.2757998474193147	0.001	10000
Niarchou2020meat	1e-06	best	jointPC4	-2.3093097744925437	2.446686810415714	-0.9438518099912312	0.3452453806616698	0.001	10000
Niarchou2020meat	1e-06	best	jointPC5	1.5815364184810115	2.42877599687057	0.6511660278752713	0.5149393175895841	0.001	10000
Niarchou2020meat	1e-06	best	jointPC6	-0.6229101005216373	2.4962972675253017	-0.24953362270798693	0.8029480361061694	0.001	10000
Niarchou2020meat	1e-06	best	jointPC7	10.545175562974169	2.4350862593826523	4.330514174741228	1.4876156910650876e-5	0.001	10000
Niarchou2020meat	1e-06	best	jointPC8	7.277516700478359	2.434665573480916	2.9891237547148912	0.0027977878686538684	0.001	10000
Niarchou2020meat	1e-06	best	jointPC9	-0.04738671107502243	2.446117504637475	-0.01937221371630115	0.98454417649034	0.001	10000
Niarchou2020meat	1e-06	best	jointPC10	-4.8638674620535225	2.4467473397283412	-1.9878911823374255	0.0468237261692478	0.001	10000
Niarchou2020meat	1e-05	other	(Intercept)	0.7700426486506262	0.14990233799590025	5.13696223118072	2.792150434710135e-7	0.001	10000
Niarchou2020meat	1e-05	other	`prs.pt_1e-05`	-0.02659070232245327	0.014137072168491412	-1.8809200381475313	0.059982796958142647	0.001	10000
Niarchou2020meat	1e-05	other	aaoaae2	-0.017716711555592943	0.001888583278604675	-9.380953308388085	6.537889671219792e-21	0.001	10000
Niarchou2020meat	1e-05	other	sex2	-0.05736834872633139	0.028704228636510083	-1.998602695540205	0.04565135851066316	0.001	10000
Niarchou2020meat	1e-05	other	apoe4dose	1.2703269833030892	0.02629158917241818	48.31685810136407	0	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC1	0.9987639499102133	0.07263633827122602	13.750196852996666	5.079113966173709e-43	0.001	10000
Niarchou2020meat	1e-05	other	cohortUPITT	0.3922733216231384	0.06915992163321341	5.6719746402192674	1.4116087692819717e-8	0.001	10000
Niarchou2020meat	1e-05	other	cohortACT	-0.7575847064110522	0.07295034882833333	-10.384936036341644	2.903638900261706e-25	0.001	10000
Niarchou2020meat	1e-05	other	cohortLOAD	-0.04076403508280115	0.06912964520922286	-0.5896751669913483	0.5554084469972966	0.001	10000
Niarchou2020meat	1e-05	other	cohortMAYO	-0.5443052583181355	0.07199255203580719	-7.560577350382196	4.0128416621383504e-14	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC9	0.39021871222935733	0.07217199765184665	5.406788296365979	6.416490975957834e-8	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC7	-0.573922295150245	0.0774607866819578	-7.4091978629997985	1.2706560853358318e-13	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC10	0.2699960527489215	0.0814579416258251	3.314545486419743	9.179224406126027e-4	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC3	0.16074513367199733	0.07975365827805538	2.0155205058001355	0.04385013969679435	0.001	10000
Niarchou2020meat	1e-05	other	cohortTGEN2	0.5620157711825798	0.08602421612775359	6.533227461764215	6.436727096263344e-11	0.001	10000
Niarchou2020meat	1e-05	other	cohortROSMAP	-0.43042867782657607	0.09115137169357891	-4.722130559631472	2.333867757307042e-6	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC8	-0.20261432545059446	0.08654723428615095	-2.3410837691322532	0.019227852382336857	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC5	-0.6230266191131831	0.0945642178448485	-6.588397105291801	4.4460020370890305e-11	0.001	10000
Niarchou2020meat	1e-05	other	cohortMIRAGE	0.3867375804579064	0.0983917950706855	3.93058770988039	8.47384733220834e-5	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC2	1.3029077909313365	0.11075387402778797	11.763992929082002	5.983607313252266e-32	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC4	-0.235808097954743	0.0981275471537517	-2.4030774720707706	0.01625774275934528	0.001	10000
Niarchou2020meat	1e-05	other	cohortWHICAP	-1.8455618093412878	0.14312848634379224	-12.894440907509347	4.837587588777112e-38	0.001	10000
Niarchou2020meat	1e-05	other	cohortUKS	4.443373289874433	0.38344654049496707	11.587986383026854	4.741484058764873e-31	0.001	10000
Niarchou2020meat	1e-05	other	cohortADC6	-0.4849272856883877	0.10669295117927913	-4.545073318607065	5.491613507298458e-6	0.001	10000
Niarchou2020meat	1e-05	other	cohortWASHU	0.5800857991744507	0.10980159177344093	5.283036336771606	1.2706017720930825e-7	0.001	10000
Niarchou2020meat	1e-05	other	cohortTARC1	0.46278784560285957	0.1116377656479799	4.145441669462809	3.391593335585443e-5	0.001	10000
Niarchou2020meat	1e-05	other	cohortADNI	0.35709178183044954	0.11633787735443071	3.0694369705796403	0.0021446265385753798	0.001	10000
Niarchou2020meat	1e-05	other	cohortMTV	0.6431397342726843	0.13297463433825535	4.836559524854133	1.3210572473951076e-6	0.001	10000
Niarchou2020meat	1e-05	other	cohortOHSU	0.31187137939033804	0.1407522650357253	2.2157467896603995	0.026708848486863283	0.001	10000
Niarchou2020meat	1e-05	other	cohortRMayo	-2.647538100074132	0.30807482155562266	-8.593815251455469	8.412825022164944e-18	0.001	10000
Niarchou2020meat	1e-05	other	cohortCHAP	-1.4385474914503427	0.22646597986259798	-6.352157142203619	2.1231626358688606e-10	0.001	10000
Niarchou2020meat	1e-05	other	cohortEAS	-2.58851677355489	0.35381046085261425	-7.3161114776456	2.552596338398523e-13	0.001	10000
Niarchou2020meat	1e-05	other	cohortROSMAP2	0.05804315000562228	0.202607819841212	0.28648030491178433	0.7745102760365334	0.001	10000
Niarchou2020meat	1e-05	other	cohortBIOCARD	-3.1789292554113486	0.43292599011686655	-7.342893076373654	2.0902551406657767e-13	0.001	10000
Niarchou2020meat	1e-05	other	cohortWASHU2	-0.700675695868862	0.22555117304699948	-3.10650433071726	0.0018931353553231197	0.001	10000
Niarchou2020meat	1e-05	other	cohortNBB	0.7678716319110563	0.25330421127238173	3.0314207097226373	0.0024340583956843735	0.001	10000
Niarchou2020meat	1e-05	other	cohortACT2	1.2959969152591388	0.4598645810156818	2.8182142499357745	0.004829157418687912	0.001	10000
Niarchou2020meat	1e-05	other	jointPC1	-12.223908311338121	2.564723462813051	-4.766170110960283	1.8776075089979773e-6	0.001	10000
Niarchou2020meat	1e-05	other	jointPC2	2.5267786445438762	2.4298385437104537	1.0398956963969266	0.2983883621194296	0.001	10000
Niarchou2020meat	1e-05	other	jointPC3	2.65031572338613	2.4175444317810744	1.096284183465272	0.2729544288550284	0.001	10000
Niarchou2020meat	1e-05	other	jointPC4	-2.2843885028587327	2.446668617516452	-0.933673030546145	0.35047258086390176	0.001	10000
Niarchou2020meat	1e-05	other	jointPC5	1.5711492779882568	2.428686284067777	0.6469132255964973	0.5176881056742055	0.001	10000
Niarchou2020meat	1e-05	other	jointPC6	-0.6532833062419015	2.4952352193713083	-0.2618123137932065	0.7934661450903009	0.001	10000
Niarchou2020meat	1e-05	other	jointPC7	10.481799250001982	2.4351483258736057	4.304378151684724	1.674554249202863e-5	0.001	10000
Niarchou2020meat	1e-05	other	jointPC8	7.190084814101067	2.4337832696736728	2.954283112918732	0.0031339635451451296	0.001	10000
Niarchou2020meat	1e-05	other	jointPC9	-0.0373152379672931	2.4462972475247953	-0.015253762806236767	0.9878297301221329	0.001	10000
Niarchou2020meat	1e-05	other	jointPC10	-4.835361380851559	2.4470576527844448	-1.9759899712005249	0.048155913064249406	0.001	10000
Niarchou2020meat	1e-04	other	(Intercept)	0.7704775559155068	0.1499026838194919	5.139851644306059	2.749554721604286e-7	0.001	10000
Niarchou2020meat	1e-04	other	prs.pt_0.0001	-0.025899975953729556	0.014126130276816504	-1.8334799018692352	0.06673123473925417	0.001	10000
Niarchou2020meat	1e-04	other	aaoaae2	-0.017720463629530087	0.0018885577726994256	-9.383066743148236	6.408118820759799e-21	0.001	10000
Niarchou2020meat	1e-04	other	sex2	-0.05741868074723092	0.028704124794561296	-2.0003634027577215	0.045461037221784587	0.001	10000
Niarchou2020meat	1e-04	other	apoe4dose	1.270412606806018	0.026291470257946932	48.32033333784441	0	0.001	10000
Niarchou2020meat	1e-04	other	cohortADC1	0.9973718317206031	0.0726437921593425	13.729622340376872	6.748435779403351e-43	0.001	10000
Niarchou2020meat	1e-04	other	cohortUPITT	0.3922258207883053	0.06916697050488767	5.670709847854169	1.4220706476046422e-8	0.001	10000
Niarchou2020meat	1e-04	other	cohortACT	-0.7577770971217914	0.07295561920191648	-10.386822912495893	2.846782532148501e-25	0.001	10000
Niarchou2020meat	1e-04	other	cohortLOAD	-0.04159535261463857	0.06913698834793497	-0.6016367447958264	0.5474159641542202	0.001	10000
