id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	method	nsnp	n_outliers	b	se	pval
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	FALSE	Inverse variance weighted (fixed effects)	11	3	-0.005740230120560693	0.0034642958127173006	0.0975257805313007
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	FALSE	Weighted median	11	3	0.0011914417575637978	0.005244090269162592	0.8202705335694449
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	FALSE	Weighted mode	11	3	0.004125229142875525	0.005524303336683738	0.4724108406059261
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	FALSE	MR Egger	11	3	0.00492654145021897	0.02512408960869528	0.8488970543174806
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	TRUE	Inverse variance weighted (fixed effects)	8	3	3.0654058696833006e-4	0.0038659495428899162	0.9368000163318299
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	TRUE	Weighted median	8	3	0.004417788716477823	0.005264446580814654	0.40137145970419824
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	TRUE	Weighted mode	8	3	0.008070781247287412	0.007070283701813403	0.29119978619531184
Dr24lT	XxQzzW	Lee2018education23andMe	Lambert2013load	5e-8	TRUE	MR Egger	8	3	-0.004657845918738853	0.014251190279593162	0.7548905363195328
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	FALSE	Inverse variance weighted (fixed effects)	32	5	-2.2618593069319547e-4	0.0024826645645526064	0.9274082714274032
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	FALSE	Weighted median	32	5	0.0035977799926117182	0.003947917314895626	0.36213159670496087
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	FALSE	Weighted mode	32	5	0.004596712980989626	0.005333025951228114	0.3953429142330859
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	FALSE	MR Egger	32	5	-0.003236530889005737	0.012785012484775852	0.8018787316612058
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	TRUE	Inverse variance weighted (fixed effects)	27	5	0.0034108091076631266	0.002678855688138414	0.2029351561050711
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	TRUE	Weighted median	27	5	0.0040421061566198275	0.003958799204433002	0.3072338343851636
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	TRUE	Weighted mode	27	5	0.004507803694583291	0.005783020493451983	0.44272940732986354
IPRFeT	ZpVTLv	Lee2018education23andMe	Lambert2013load	5e-6	TRUE	MR Egger	27	5	-0.004714332922108774	0.008253896794792758	0.5729874512477431
5KdW6f	BdMckD	SanchezRoige2019auditt23andMe	Lambert2013load	5e-8	FALSE	Inverse variance weighted (fixed effects)	11	0	-0.002218585321457835	0.00337860977308745	0.5114019529102862
5KdW6f	BdMckD	SanchezRoige2019auditt23andMe	Lambert2013load	5e-8	FALSE	Weighted median	11	0	0.001576405158087835	0.004290087799417435	0.7132812263943394
5KdW6f	BdMckD	SanchezRoige2019auditt23andMe	Lambert2013load	5e-8	FALSE	Weighted mode	11	0	-3.2823071052798247e-4	0.00427020381346066	0.9402468150746502
5KdW6f	BdMckD	SanchezRoige2019auditt23andMe	Lambert2013load	5e-8	FALSE	MR Egger	11	0	0.0020717458066504997	0.008033019968691064	0.8022816604065636
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	FALSE	Inverse variance weighted (fixed effects)	33	1	9.429504490335352e-4	0.0024373624871465035	0.6988500144786972
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	FALSE	Weighted median	33	1	0.0024285871107380046	0.003681218676309344	0.5094311713937167
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	FALSE	Weighted mode	33	1	0.0030845031270273215	0.0031507817557876617	0.33494116560529696
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	FALSE	MR Egger	33	1	0.005984589599871366	0.006156245343120396	0.338517033118492
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	TRUE	Inverse variance weighted (fixed effects)	32	1	-1.396742603218536e-4	0.002453597371832378	0.9546038908395647
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	TRUE	Weighted median	32	1	0.002400161414233052	0.0037638906097940306	0.5236813758260848
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	TRUE	Weighted mode	32	1	0.0032981437382473416	0.003101254087344401	0.29577550997386143
s5oaQ5	PWYDvm	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	TRUE	MR Egger	32	1	0.006900263996584696	0.005391036922358635	0.21037192756451106
5fmvVN	ezPEy6	Liu2019drnkwk23andMe	Lambert2013load	5e-8	FALSE	Inverse variance weighted (fixed effects)	11	0	-5.223409259650057e-4	0.0013299227881667288	0.6944964998457135
5fmvVN	ezPEy6	Liu2019drnkwk23andMe	Lambert2013load	5e-8	FALSE	Weighted median	11	0	6.689300634825912e-4	0.0017313966505148692	0.6992353503755764
5fmvVN	ezPEy6	Liu2019drnkwk23andMe	Lambert2013load	5e-8	FALSE	Weighted mode	11	0	9.739440073367432e-4	0.001702230794381446	0.5798493878917939
5fmvVN	ezPEy6	Liu2019drnkwk23andMe	Lambert2013load	5e-8	FALSE	MR Egger	11	0	0.0027164823991027405	0.002457489509965016	0.2976632966432898
NsL1gO	kp957J	Liu2019drnkwk23andMe	Lambert2013load	5e-6	FALSE	Inverse variance weighted (fixed effects)	33	2	-8.27720172363417e-4	9.525821381428016e-4	0.38488945334364744
NsL1gO	kp957J	Liu2019drnkwk23andMe	Lambert2013load	5e-6	FALSE	Weighted median	33	2	5.995329942258313e-4	0.0014381611131103517	0.6767700540052384
NsL1gO	kp957J	Liu2019drnkwk23andMe	Lambert2013load	5e-6	FALSE	Weighted mode	33	2	6.333643342195799e-4	0.001235043126566096	0.6115940302242847
NsL1gO	kp957J	Liu2019drnkwk23andMe	Lambert2013load	5e-6	FALSE	MR Egger	33	2	0.0021821077947446034	0.0020504905825473197	0.295462884562962
NsL1gO	kp957J	Liu2019drnkwk23andMe	Lambert2013load	5e-6	TRUE	Inverse variance weighted (fixed effects)	31	2	-8.548583966242961e-4	9.641200279402672e-4	0.375255426256524
NsL1gO	kp957J	Liu2019drnkwk23andMe	Lambert2013load	5e-6	TRUE	Weighted median	31	2	5.928021126426597e-4	0.0014657521730976769	0.685892549779075
