id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
F5hDqt	fwU7tk	Lee2018education23andMe	Lambert2013load	5e-8	TRUE	3	9.975682123965145	0.378
HQekd8	wrSuXh	Lee2018education23andMe	Lambert2013load	5e-6	TRUE	5	41.05191517820754	0.045
TfYkmK	8PpsIj	SanchezRoige2019auditt23andMe	Lambert2013load	5e-8	TRUE	0	NA	NA
lC2y2a	mmCaFO	SanchezRoige2019auditt23andMe	Lambert2013load	5e-6	TRUE	1	53.30992717233478	0.0138
BFApUI	sFZPx6	Liu2019drnkwk23andMe	Lambert2013load	5e-8	TRUE	0	NA	NA
zW4z0I	15BBm8	Liu2019drnkwk23andMe	Lambert2013load	5e-6	TRUE	2	33.819061139466285	0.344
cmAMbb	iNmOsn	Yengo2018bmi	Kunkle2019load	5e-8	TRUE	2	2.7658667446972256	0.786
Q3nbdN	4JuHpb	Yengo2018bmi	Kunkle2019load	5e-6	TRUE	5	25.62428070400349	0.083
XTsK3p	JvCvkU	Xue2018diab	Kunkle2019load	5e-8	TRUE	1	20.885795752489347	0.031
QtuNCv	JAhFO5	Xue2018diab	Kunkle2019load	5e-6	TRUE	1	41.17678766001848	0.023
hv6oPp	yE8rNL	Niarchou2020meat	Kunkle2019load	5e-8	TRUE	1	33.68490032586033	0.004
qRlCOX	jd7n6c	Niarchou2020meat	Kunkle2019load	5e-6	TRUE	1	63.68763515269846	0.0036
hyXB7f	EjEa7y	Niarchou2020fish	Kunkle2019load	5e-8	TRUE	1	16.51858511658548	0.342
zBv2EF	MMYFeT	Niarchou2020fish	Kunkle2019load	5e-6	TRUE	1	60.7250278242633	0.0084
enIo9C	Aatdbg	Willer2013hdl	Kunkle2019load	5e-8	TRUE	0	NA	NA
vtA8y5	R3K3ie	Willer2013hdl	Kunkle2019load	5e-6	TRUE	0	NA	NA
QMhdFe	Mz2bCi	Willer2013ldl	Kunkle2019load	5e-8	TRUE	0	NA	NA
i9xIdX	iwwZ4G	Willer2013ldl	Kunkle2019load	5e-6	TRUE	0	NA	NA
8yt6VC	FLnJSF	Willer2013tc	Kunkle2019load	5e-8	TRUE	0	NA	NA
a6PSIV	fFrNYx	Willer2013tc	Kunkle2019load	5e-6	TRUE	0	NA	NA
0Zi7xa	jinubp	Willer2013tg	Kunkle2019load	5e-8	TRUE	2	6.9484939881268835	0.369
diMqpZ	mLBNjO	Willer2013tg	Kunkle2019load	5e-6	TRUE	1	25.15897889059511	0.245
SQ3yUM	5CugoA	Dashti2019slepdur	Kunkle2019load	5e-8	TRUE	0	NA	NA
XY3Ikl	dW5pJP	Dashti2019slepdur	Kunkle2019load	5e-6	TRUE	1	53.54945014628115	0.0422
zYnAMg	fb2mNv	Klimentidis2018mvpa	Kunkle2019load	5e-8	TRUE	0	NA	NA
CqOoQN	fiKLgo	Klimentidis2018mvpa	Kunkle2019load	5e-6	TRUE	0	NA	NA
5FK6FN	eopwDm	Day2018sociso	Kunkle2019load	5e-8	TRUE	1	11.698596911596052	0.643
1lJUCI	BVJZPF	Day2018sociso	Kunkle2019load	5e-6	TRUE	2	43.742977905587686	0.1326
744iWz	4WOh1W	Wells2019hdiff	Kunkle2019load	5e-8	TRUE	0	NA	NA
RqjBY8	YD6KKc	Wells2019hdiff	Kunkle2019load	5e-6	TRUE	0	NA	NA
ERbs1Q	ilw3ec	Evangelou2018dbp	Kunkle2019load	5e-8	TRUE	0	NA	NA
TBQHrn	v60siq	Evangelou2018dbp	Kunkle2019load	5e-6	TRUE	2	74.70819259075738	<2e-04
FoFIiN	uhD9yP	Evangelou2018sbp	Kunkle2019load	5e-8	TRUE	1	13.881854232735034	0.465
