id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
thHpRN	pXQiUa	Lambert2013load	Liu2019drnkwk	5e-8	TRUE	1	43.08984150390973	0.223
b0Oo10	GT4hYf	Lambert2013load	Liu2019drnkwk	5e-6	TRUE	1	141.33575611510898	0.1048
ZA4X1V	sgd61Q	Huang2017aaos	Liu2019drnkwk	5e-8	TRUE	1	40.4672312747624	0.2986
CE043j	qum2Yq	Huang2017aaos	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
pfu3Qm	rmQMOu	Deming2017ab42	Liu2019drnkwk	5e-8	TRUE	0	NA	NA
xBwDKs	HUgXDh	Deming2017ab42	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
721ISu	6W8AGl	Deming2017ptau	Liu2019drnkwk	5e-8	TRUE	0	NA	NA
1sNgX5	cM8IL2	Deming2017ptau	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
2UU5mi	n55CBV	Deming2017tau	Liu2019drnkwk	5e-8	TRUE	0	NA	NA
t96IbP	cgAp05	Deming2017tau	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
NAbv7G	r7LQGe	Hilbar2015hipv	Liu2019drnkwk	5e-8	TRUE	0	NA	NA
YytDCP	yD9P2o	Hilbar2015hipv	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
N0Iqwu	EXLdxU	Beecham2014npany	Liu2019drnkwk	5e-8	TRUE	0	NA	NA
ZBjCIQ	8H1DmV	Beecham2014npany	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
mXace9	impMPT	Beecham2014braak4	Liu2019drnkwk	5e-8	TRUE	0	NA	NA
t7lvrf	yHgTbJ	Beecham2014braak4	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
qaSgcY	olZUNU	Beecham2014vbiany	Liu2019drnkwk	5e-8	TRUE	0	NA	NA
alHVBG	IRZGj5	Beecham2014vbiany	Liu2019drnkwk	5e-6	TRUE	0	NA	NA
IOYdsu	WQkvxT	Lambert2013load	SanchezRoige2018auditt	5e-8	TRUE	2	5.827720136778923	0.462
Lw35M9	l7IvYI	Lambert2013load	SanchezRoige2018auditt	5e-6	TRUE	1	59.98822529686827	0.1038
rubrSt	LAMYBd	Huang2017aaos	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
JiY1qs	YMZJPX	Huang2017aaos	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
DQkbXe	q24o6a	Deming2017ab42	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
RmEKlA	zaH6EH	Deming2017ab42	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
0QviGf	KaoT3u	Deming2017ptau	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
RIPeQ2	qtjOQg	Deming2017ptau	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
8RH5aK	coQsVB	Deming2017tau	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
BEazc4	Z1UMg4	Deming2017tau	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
r5sZJK	1FKH3Y	Hilbar2015hipv	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
oiEmHM	Aodo4D	Hilbar2015hipv	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
DVhEOW	jFPWQS	Beecham2014npany	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
UXZcDO	DKOsjd	Beecham2014npany	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
cCPxKP	55su9Z	Beecham2014braak4	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
fFHefh	bcUIJi	Beecham2014braak4	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
J2INhS	hLaRdF	Beecham2014vbiany	SanchezRoige2018auditt	5e-8	TRUE	0	NA	NA
fCjNUf	D2HUqX	Beecham2014vbiany	SanchezRoige2018auditt	5e-6	TRUE	0	NA	NA
bQIPXt	RumKzN	Kunkle2019load	Yengo2018bmi	5e-8	TRUE	2	583.3421006253609	0.00928
JPrXCH	Yd5rf3	Kunkle2019load	Yengo2018bmi	5e-6	TRUE	2	817.2599166270776	4.4e-4
8KaUvA	WZr669	Huang2017aaos	Yengo2018bmi	5e-8	TRUE	0	NA	NA
AbU7JQ	iBiESB	Huang2017aaos	Yengo2018bmi	5e-6	TRUE	0	NA	NA
h7AzE5	3aFWeu	Deming2017ab42	Yengo2018bmi	5e-8	TRUE	0	NA	NA
DihxI2	3fDqe6	Deming2017ab42	Yengo2018bmi	5e-6	TRUE	0	NA	NA
MuDRr3	DplG2j	Deming2017ptau	Yengo2018bmi	5e-8	TRUE	0	NA	NA
lZva6V	6sXo5A	Deming2017ptau	Yengo2018bmi	5e-6	TRUE	0	NA	NA
WHXwJ8	Gg6OHj	Deming2017tau	Yengo2018bmi	5e-8	TRUE	0	NA	NA
9d7zoJ	GhKTJ5	Deming2017tau	Yengo2018bmi	5e-6	TRUE	0	NA	NA
v2Fhsh	nXW8Rc	Hilbar2017hipv	Yengo2018bmi	5e-8	TRUE	1	710.8537406069855	<4e-05
ueYjry	JqOYUu	Hilbar2017hipv	Yengo2018bmi	5e-6	TRUE	1	899.4667021337066	<4e-05
jD3L7W	wJRZOl	Beecham2014npany	Yengo2018bmi	5e-8	TRUE	0	NA	NA
rVfodr	ikIqdh	Beecham2014npany	Yengo2018bmi	5e-6	TRUE	0	NA	NA
r3B9IE	bz0iB5	Beecham2014braak4	Yengo2018bmi	5e-8	TRUE	0	NA	NA
wVEIkF	iat7K0	Beecham2014braak4	Yengo2018bmi	5e-6	TRUE	0	NA	NA
lAqSZw	iiqw7E	Beecham2014vbiany	Yengo2018bmi	5e-8	TRUE	0	NA	NA
Dtwv71	5qyzfp	Beecham2014vbiany	Yengo2018bmi	5e-6	TRUE	0	NA	NA
hqmChR	q293Cs	Kunkle2019load	Howard2018dep	5e-8	TRUE	0	NA	NA
h14Nb3	4IUZn8	Kunkle2019load	Howard2018dep	5e-6	TRUE	0	NA	NA
cZhjaC	KjO2im	Huang2017aaos	Howard2018dep	5e-8	TRUE	0	NA	NA
5poyqS	IkZMsp	Huang2017aaos	Howard2018dep	5e-6	TRUE	0	NA	NA
TjKnRl	ANQYp2	Deming2017ab42	Howard2018dep	5e-8	TRUE	1	13.811084972306062	0.342
GHzrev	SHwjm2	Deming2017ab42	Howard2018dep	5e-6	TRUE	0	NA	NA
duRZAx	udy1l3	Deming2017ptau	Howard2018dep	5e-8	TRUE	0	NA	NA
kTtXBz	b3AF9V	Deming2017ptau	Howard2018dep	5e-6	TRUE	0	NA	NA
Ns5aPb	efnW99	Deming2017tau	Howard2018dep	5e-8	TRUE	0	NA	NA
Q7bSsv	bTUTis	Deming2017tau	Howard2018dep	5e-6	TRUE	0	NA	NA
PBTQYz	gupyU6	Hilbar2017hipv	Howard2018dep	5e-8	TRUE	0	NA	NA
E6omjR	FemGlp	Hilbar2017hipv	Howard2018dep	5e-6	TRUE	0	NA	NA
mVlFn9	hU6Ye4	Beecham2014npany	Howard2018dep	5e-8	TRUE	0	NA	NA
U0mKEW	6tKE0C	Beecham2014npany	Howard2018dep	5e-6	TRUE	0	NA	NA
RbkXBQ	PYfsVx	Beecham2014braak4	Howard2018dep	5e-8	TRUE	0	NA	NA
5lZY6O	qm2lIu	Beecham2014braak4	Howard2018dep	5e-6	TRUE	0	NA	NA
NLWdQM	3GxRgd	Beecham2014vbiany	Howard2018dep	5e-8	TRUE	0	NA	NA
LHZKmp	jfHQG8	Beecham2014vbiany	Howard2018dep	5e-6	TRUE	0	NA	NA
5fSrUk	bvubjO	Kunkle2019load	Xue2018diab	5e-8	TRUE	1	175.41732473070928	5e-4
4qeCE7	7944f0	Kunkle2019load	Xue2018diab	5e-6	TRUE	1	301.04908882725357	1e-4
cG5h7a	49Znkp	Huang2017aaos	Xue2018diab	5e-8	TRUE	0	NA	NA
kp4jAs	kIPr5Z	Huang2017aaos	Xue2018diab	5e-6	TRUE	0	NA	NA
iH8uXL	mmR9Pt	Deming2017ab42	Xue2018diab	5e-8	TRUE	0	NA	NA
dlxgSw	gwfJNt	Deming2017ab42	Xue2018diab	5e-6	TRUE	0	NA	NA
GFGFhf	e3tisR	Deming2017ptau	Xue2018diab	5e-8	TRUE	0	NA	NA
t2fDlr	uGPnOg	Deming2017ptau	Xue2018diab	5e-6	TRUE	0	NA	NA
BksCli	g1ZPVq	Deming2017tau	Xue2018diab	5e-8	TRUE	0	NA	NA
dvKTtm	S5DJ2G	Deming2017tau	Xue2018diab	5e-6	TRUE	0	NA	NA
uWFzly	FIxVbl	Hilbar2017hipv	Xue2018diab	5e-8	TRUE	0	NA	NA
ZRR3hk	WDM5Aq	Hilbar2017hipv	Xue2018diab	5e-6	TRUE	0	NA	NA
8JpI8Q	7pRO9q	Beecham2014npany	Xue2018diab	5e-8	TRUE	0	NA	NA
b5QG6j	WPfroh	Beecham2014npany	Xue2018diab	5e-6	TRUE	0	NA	NA
WaTRVu	OHh6ws	Beecham2014braak4	Xue2018diab	5e-8	TRUE	0	NA	NA
g0qWCE	fi9LLo	Beecham2014braak4	Xue2018diab	5e-6	TRUE	0	NA	NA
2Wp3yZ	0UIsch	Beecham2014vbiany	Xue2018diab	5e-8	TRUE	0	NA	NA
EeTj9c	cblY2w	Beecham2014vbiany	Xue2018diab	5e-6	TRUE	0	NA	NA
sq7tNO	PvpX5P	Lambert2013load	Lee2018educ	5e-8	TRUE	0	NA	NA
gcIlgu	VNJFUs	Lambert2013load	Lee2018educ	5e-6	TRUE	0	NA	NA
bJikXK	5gJMQ6	Huang2017aaos	Lee2018educ	5e-8	TRUE	0	NA	NA
74KeMf	xpcSK7	Huang2017aaos	Lee2018educ	5e-6	TRUE	0	NA	NA
Zzhofm	g9nvWR	Deming2017ab42	Lee2018educ	5e-8	TRUE	0	NA	NA
Jg9Lcx	T8Ssqe	Deming2017ab42	Lee2018educ	5e-6	TRUE	0	NA	NA
i6c2Lp	oxfWRW	Deming2017ptau	Lee2018educ	5e-8	TRUE	0	NA	NA
N8Ajh4	5kTtWF	Deming2017ptau	Lee2018educ	5e-6	TRUE	0	NA	NA
863LqT	HzmEDm	Deming2017tau	Lee2018educ	5e-8	TRUE	0	NA	NA
kC20nM	6KKKwy	Deming2017tau	Lee2018educ	5e-6	TRUE	0	NA	NA
R3WNel	MThb5g	Hilbar2015hipv	Lee2018educ	5e-8	TRUE	0	NA	NA
2eVyeD	XlWPQR	Hilbar2015hipv	Lee2018educ	5e-6	TRUE	0	NA	NA
tuDO3K	SDljax	Beecham2014npany	Lee2018educ	5e-8	TRUE	0	NA	NA
W04tNC	S7w0Sg	Beecham2014npany	Lee2018educ	5e-6	TRUE	0	NA	NA
aV7DRa	4lE0mx	Beecham2014braak4	Lee2018educ	5e-8	TRUE	0	NA	NA
E0lYvX	D7iktP	Beecham2014braak4	Lee2018educ	5e-6	TRUE	0	NA	NA
1XgBPE	LtlKat	Beecham2014vbiany	Lee2018educ	5e-8	TRUE	0	NA	NA
SCWYPZ	eyx1Pc	Beecham2014vbiany	Lee2018educ	5e-6	TRUE	0	NA	NA
4K3eB8	Tqy5IV	Kunkle2019load	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
PzNYcH	HTd6z5	Kunkle2019load	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
mtcPVu	I9tYWp	Huang2017aaos	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
P2lH3Q	2oKnM4	Huang2017aaos	NealeLab2018oilfish	5e-6	TRUE	1	157.55490053414874	0.0242
WgweGR	fR79Ji	Deming2017ab42	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
76sNcx	mOlMNG	Deming2017ab42	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
ZIMxnQ	PRjEEk	Deming2017ptau	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
OPl2L3	LHluXS	Deming2017ptau	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
WeNfzs	DSFw1E	Deming2017tau	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
lfCILN	fIril6	Deming2017tau	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
svLYoU	3md6qD	Hilbar2017hipv	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
3m9em3	By5a8q	Hilbar2017hipv	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
fmkwiH	iOIbdK	Beecham2014npany	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
rSSHtR	xndkWj	Beecham2014npany	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
Tq7bBh	QWjZWm	Beecham2014braak4	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
iGY0ei	AkCeJv	Beecham2014braak4	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
5jYD2N	cPVNdl	Beecham2014vbiany	NealeLab2018oilfish	5e-8	TRUE	0	NA	NA
9Fmabz	wSKWvu	Beecham2014vbiany	NealeLab2018oilfish	5e-6	TRUE	0	NA	NA
chcIpz	epW7oG	Kunkle2019load	Willer2013hdl	5e-8	TRUE	0	NA	NA
bNmfyZ	2YGSBj	Kunkle2019load	Willer2013hdl	5e-6	TRUE	2	176.3941252263915	0.0025
HAglai	cWJY80	Huang2017aaos	Willer2013hdl	5e-8	TRUE	0	NA	NA
mIS9kl	7IGL52	Huang2017aaos	Willer2013hdl	5e-6	TRUE	0	NA	NA
AHaK3R	7cIx7f	Deming2017ab42	Willer2013hdl	5e-8	TRUE	0	NA	NA
SczwuL	3AF0Hk	Deming2017ab42	Willer2013hdl	5e-6	TRUE	0	NA	NA
T6sFwV	d54Q9e	Deming2017ptau	Willer2013hdl	5e-8	TRUE	0	NA	NA
KnlWbo	5anUKo	Deming2017ptau	Willer2013hdl	5e-6	TRUE	0	NA	NA
IwEcQb	z43w9I	Deming2017tau	Willer2013hdl	5e-8	TRUE	0	NA	NA
A6600N	0BoOII	Deming2017tau	Willer2013hdl	5e-6	TRUE	0	NA	NA
IsX2PZ	Ij8dfz	Hilbar2017hipv	Willer2013hdl	5e-8	TRUE	1	104.36737114948612	0.1057
WhBliE	UArr1R	Hilbar2017hipv	Willer2013hdl	5e-6	TRUE	1	164.1260628258955	0.0174
erUoZv	wEflyJ	Beecham2014npany	Willer2013hdl	5e-8	TRUE	0	NA	NA
29kqE6	ArZsCI	Beecham2014npany	Willer2013hdl	5e-6	TRUE	0	NA	NA
co3eSV	PQK9K4	Beecham2014braak4	Willer2013hdl	5e-8	TRUE	0	NA	NA
FYAJBG	Srt0L3	Beecham2014braak4	Willer2013hdl	5e-6	TRUE	0	NA	NA
6SgTt5	AgrFCi	Beecham2014vbiany	Willer2013hdl	5e-8	TRUE	0	NA	NA
2VsizV	zvlafB	Beecham2014vbiany	Willer2013hdl	5e-6	TRUE	0	NA	NA
1fBkA1	9wy2nk	Kunkle2019load	Willer2013ldl	5e-8	TRUE	2	89.82664976864065	0.1002
DFha4o	zppNe1	Kunkle2019load	Willer2013ldl	5e-6	TRUE	2	122.25425163481972	0.1798
HlQe3w	rpx0l6	Huang2017aaos	Willer2013ldl	5e-8	TRUE	0	NA	NA
VmP1WZ	ICYHxJ	Huang2017aaos	Willer2013ldl	5e-6	TRUE	0	NA	NA
6htuOD	ChsVOY	Deming2017ab42	Willer2013ldl	5e-8	TRUE	1	71.14468303594111	0.3816
d3VjgD	749D0i	Deming2017ab42	Willer2013ldl	5e-6	TRUE	0	NA	NA
4dlmNM	XEmPrp	Deming2017ptau	Willer2013ldl	5e-8	TRUE	0	NA	NA
7hP8Sb	zL07TW	Deming2017ptau	Willer2013ldl	5e-6	TRUE	0	NA	NA
BEZ2hn	J3zBHB	Deming2017tau	Willer2013ldl	5e-8	TRUE	0	NA	NA
1Dych7	20b0Wf	Deming2017tau	Willer2013ldl	5e-6	TRUE	0	NA	NA
jbsYEH	ab4Kar	Hilbar2017hipv	Willer2013ldl	5e-8	TRUE	0	NA	NA
bQpKvK	MarFo7	Hilbar2017hipv	Willer2013ldl	5e-6	TRUE	0	NA	NA
qHfpSS	qiN6Xe	Beecham2014npany	Willer2013ldl	5e-8	TRUE	0	NA	NA
mAyXsx	5KUeAt	Beecham2014npany	Willer2013ldl	5e-6	TRUE	0	NA	NA
nQoShm	bE500z	Beecham2014braak4	Willer2013ldl	5e-8	TRUE	0	NA	NA
khQ5CS	ymFk8H	Beecham2014braak4	Willer2013ldl	5e-6	TRUE	0	NA	NA
oGSMql	GDKNz1	Beecham2014vbiany	Willer2013ldl	5e-8	TRUE	0	NA	NA
Qjh92o	a6WyTQ	Beecham2014vbiany	Willer2013ldl	5e-6	TRUE	0	NA	NA
RDJkfU	dHatzn	Kunkle2019load	Willer2013tc	5e-8	TRUE	3	109.87980729661774	0.0183
JHS5PA	sCwEoA	Kunkle2019load	Willer2013tc	5e-6	TRUE	1	175.1754914507165	0.0014
nNOQ4g	jfLB4A	Huang2017aaos	Willer2013tc	5e-8	TRUE	0	NA	NA
9w167d	3IxdKW	Huang2017aaos	Willer2013tc	5e-6	TRUE	0	NA	NA
01iAo6	lHkU37	Deming2017ab42	Willer2013tc	5e-8	TRUE	0	NA	NA
QOd23B	vpzVNN	Deming2017ab42	Willer2013tc	5e-6	TRUE	0	NA	NA
IQwcNv	KSubr7	Deming2017ptau	Willer2013tc	5e-8	TRUE	1	98.42507483976108	0.1066
qjnzvm	82tyve	Deming2017ptau	Willer2013tc	5e-6	TRUE	0	NA	NA
CHp83B	3eHh6o	Deming2017tau	Willer2013tc	5e-8	TRUE	0	NA	NA
onTGWv	p9w8Ys	Deming2017tau	Willer2013tc	5e-6	TRUE	0	NA	NA
RIE5dp	IoSMgZ	Hilbar2017hipv	Willer2013tc	5e-8	TRUE	0	NA	NA
oXQ2Q1	pDDZdT	Hilbar2017hipv	Willer2013tc	5e-6	TRUE	0	NA	NA
ewT8lk	BJVHnM	Beecham2014npany	Willer2013tc	5e-8	TRUE	0	NA	NA
84wZVn	zSFIVZ	Beecham2014npany	Willer2013tc	5e-6	TRUE	0	NA	NA
cS4Lus	FkncIb	Beecham2014braak4	Willer2013tc	5e-8	TRUE	0	NA	NA
b6G9eB	crNyIy	Beecham2014braak4	Willer2013tc	5e-6	TRUE	1	155.83945914585345	0.0255
hM5FeB	zoEfKM	Beecham2014vbiany	Willer2013tc	5e-8	TRUE	0	NA	NA
4IIAku	O4QpkZ	Beecham2014vbiany	Willer2013tc	5e-6	TRUE	0	NA	NA
Q3VM3X	7jeEFh	Kunkle2019load	Willer2013tg	5e-8	TRUE	0	NA	NA
YhDQ0X	FlZhh7	Kunkle2019load	Willer2013tg	5e-6	TRUE	1	121.55350959321939	0.0368
sGqxEl	dOsAH6	Huang2017aaos	Willer2013tg	5e-8	TRUE	0	NA	NA
EYHfFQ	mJ28OB	Huang2017aaos	Willer2013tg	5e-6	TRUE	1	150.44846172725127	2e-4
DcWlQ2	kJEZEv	Deming2017ab42	Willer2013tg	5e-8	TRUE	0	NA	NA
hD0K3j	bZpsBZ	Deming2017ab42	Willer2013tg	5e-6	TRUE	0	NA	NA
efhCWu	o7kID3	Deming2017ptau	Willer2013tg	5e-8	TRUE	1	58.08861813953535	0.3304
mofBNB	9cOlWO	Deming2017ptau	Willer2013tg	5e-6	TRUE	0	NA	NA
l9oedO	NkeSqE	Deming2017tau	Willer2013tg	5e-8	TRUE	1	49.73729538379764	0.567
EcVXFJ	mzL6Zh	Deming2017tau	Willer2013tg	5e-6	TRUE	0	NA	NA
74B4qK	GyGKZM	Hilbar2017hipv	Willer2013tg	5e-8	TRUE	0	NA	NA
lSN6sZ	J3rhUP	Hilbar2017hipv	Willer2013tg	5e-6	TRUE	1	140.7191417854463	0.0029
oXmPu4	791zxn	Beecham2014npany	Willer2013tg	5e-8	TRUE	1	48.081428379829944	0.7066
XZvs0W	sWMZPB	Beecham2014npany	Willer2013tg	5e-6	TRUE	0	NA	NA
W0Pgs7	fefMEi	Beecham2014braak4	Willer2013tg	5e-8	TRUE	0	NA	NA
d0mkjH	bYIOtm	Beecham2014braak4	Willer2013tg	5e-6	TRUE	0	NA	NA
jH6Him	xhZxhm	Beecham2014vbiany	Willer2013tg	5e-8	TRUE	0	NA	NA
8myya3	4yRNJU	Beecham2014vbiany	Willer2013tg	5e-6	TRUE	0	NA	NA
3bXvO1	40S3Dg	Kunkle2019load	Jansen2018insom	5e-8	TRUE	0	NA	NA
EWqA29	MPcgOd	Kunkle2019load	Jansen2018insom	5e-6	TRUE	0	NA	NA
3Q80AD	jJObfK	Huang2017aaos	Jansen2018insom	5e-8	TRUE	0	NA	NA
pyKQ1c	yirTlv	Huang2017aaos	Jansen2018insom	5e-6	TRUE	0	NA	NA
W4TI5T	pH7cxT	Deming2017ab42	Jansen2018insom	5e-8	TRUE	0	NA	NA
WpYRwE	Ks6jcx	Deming2017ab42	Jansen2018insom	5e-6	TRUE	0	NA	NA
t9AwCV	kWTshx	Deming2017ptau	Jansen2018insom	5e-8	TRUE	0	NA	NA
gXfKt6	xLQmCp	Deming2017ptau	Jansen2018insom	5e-6	TRUE	0	NA	NA
cZGi39	ynEVa9	Deming2017tau	Jansen2018insom	5e-8	TRUE	0	NA	NA
Kc3doQ	QJ0RdR	Deming2017tau	Jansen2018insom	5e-6	TRUE	0	NA	NA
9rEquM	kskFTs	Hilbar2017hipv	Jansen2018insom	5e-8	TRUE	0	NA	NA
YfqQdQ	Xvtirl	Hilbar2017hipv	Jansen2018insom	5e-6	TRUE	0	NA	NA
0ay00g	Z9U0uB	Beecham2014npany	Jansen2018insom	5e-8	TRUE	0	NA	NA
96FXRX	oLo4pS	Beecham2014npany	Jansen2018insom	5e-6	TRUE	0	NA	NA
FQoeQs	uxTC63	Beecham2014braak4	Jansen2018insom	5e-8	TRUE	0	NA	NA
69r9Gd	qDfQqY	Beecham2014braak4	Jansen2018insom	5e-6	TRUE	0	NA	NA
5PfnYj	qRjKXA	Beecham2014vbiany	Jansen2018insom	5e-8	TRUE	0	NA	NA
cYEQPb	JUV85Z	Beecham2014vbiany	Jansen2018insom	5e-6	TRUE	0	NA	NA
b2zW7i	o47wTB	Kunkle2019load	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
BslYNX	5LpQrk	Kunkle2019load	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
pSzGyU	IJk2RG	Huang2017aaos	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
zmq0kN	v2L6Px	Huang2017aaos	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
rhEUaR	T8ybnO	Deming2017ab42	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
d7rAjv	7B1tUD	Deming2017ab42	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
j9LoYo	mf2BDs	Deming2017ptau	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
p6Ynaz	into04	Deming2017ptau	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
WKbRF8	s8rsAC	Deming2017tau	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
9qySwf	FdhWl1	Deming2017tau	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
fTOOAo	PuaOWQ	Hilbar2017hipv	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
H3vGTS	4Q1uTF	Hilbar2017hipv	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
7W0Llc	gblYc4	Beecham2014npany	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
EpVD5c	a6zDYr	Beecham2014npany	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
4uFUvU	Uqli3v	Beecham2014braak4	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
QA0TOW	ILnOnO	Beecham2014braak4	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
eUMRXb	Ra1FeP	Beecham2014vbiany	Dashti2019slepdur	5e-8	TRUE	0	NA	NA
546l7K	GUchJq	Beecham2014vbiany	Dashti2019slepdur	5e-6	TRUE	0	NA	NA
wrirvf	bdwJsN	Kunkle2019load	Wray2018mdd	5e-8	TRUE	0	NA	NA
WBW9Dn	9sew5K	Kunkle2019load	Wray2018mdd	5e-6	TRUE	0	NA	NA
8OzwKg	YQQjZ2	Huang2017aaos	Wray2018mdd	5e-8	TRUE	0	NA	NA
