id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	method	nsnp	n_outliers	b	se	pval
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	505	2	-0.03213451753445071	0.04457498008384629	0.47096532270566777
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	FALSE	Weighted median	505	2	-0.09134203748240843	0.07376164096950792	0.21558978180777
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	FALSE	Weighted mode	505	2	-0.11490066218216644	0.1500639170386996	0.4442262504909029
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	FALSE	MR Egger	505	2	-0.2195076956661554	0.13170760402091303	0.09621073895496222
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	TRUE	Inverse variance weighted (fixed effects)	503	2	-0.027384997913262994	0.04480957121377799	0.5411057697309396
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	TRUE	Weighted median	503	2	-0.08836553998656682	0.07951008588979623	0.26640686973213307
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	TRUE	Weighted mode	503	2	-0.1145410608562516	0.15763107556954067	0.46778514087721523
oE0oob	P0FuXp	Kunkle2019load	Yengo2018bmi	5e-8	TRUE	MR Egger	503	2	-0.20592212938082258	0.12855422984468806	0.10982331069426095
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	FALSE	Inverse variance weighted (fixed effects)	693	2	-0.01578282248653059	0.041843816356430454	0.7060367906809935
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	FALSE	Weighted median	693	2	-0.07216526929201353	0.0746866684253322	0.33392394890862087
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	FALSE	Weighted mode	693	2	-0.11845677793703846	0.13899187398542312	0.3943664001102921
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	FALSE	MR Egger	693	2	-0.15649293647903506	0.11985014285306625	0.19207606453291212
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	TRUE	Inverse variance weighted (fixed effects)	691	2	-0.011450853890955825	0.0420376924397949	0.7853183779326336
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	TRUE	Weighted median	691	2	-0.06938300948401885	0.07518652132022606	0.3561052875698874
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	TRUE	Weighted mode	691	2	-0.11847110736848254	0.14203399823317364	0.4045111209563437
LIDZc5	Q9O2Vq	Kunkle2019load	Yengo2018bmi	5e-6	TRUE	MR Egger	691	2	-0.14347706753676148	0.11802007434010896	0.22451538940886973
istnpu	CfSyre	Huang2017aaos	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	504	0	0.06961795822781068	0.04218533873251092	0.09888404574802517
istnpu	CfSyre	Huang2017aaos	Yengo2018bmi	5e-8	FALSE	Weighted median	504	0	0.08419913718892089	0.07113439335241901	0.23654655915513007
istnpu	CfSyre	Huang2017aaos	Yengo2018bmi	5e-8	FALSE	Weighted mode	504	0	0.07664396620606873	0.1463834088430599	0.6007987189905224
istnpu	CfSyre	Huang2017aaos	Yengo2018bmi	5e-8	FALSE	MR Egger	504	0	-0.050134483930416134	0.12130164382430356	0.6795602118417214
OY8KdS	JiRKSk	Huang2017aaos	Yengo2018bmi	5e-6	FALSE	Inverse variance weighted (fixed effects)	692	0	0.0729937300402167	0.039704473994502915	0.06599968377207206
OY8KdS	JiRKSk	Huang2017aaos	Yengo2018bmi	5e-6	FALSE	Weighted median	692	0	0.093247799368350745	0.06892150202667326	0.17606950351982417
OY8KdS	JiRKSk	Huang2017aaos	Yengo2018bmi	5e-6	FALSE	Weighted mode	692	0	0.08083460565990563	0.14559402122931045	0.578933770851572
OY8KdS	JiRKSk	Huang2017aaos	Yengo2018bmi	5e-6	FALSE	MR Egger	692	0	-0.02005858576330918	0.1071780108929344	0.8515964256195857
eSMRAP	Y9KS29	Deming2017ab42	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	482	0	-0.01460790877551297	0.012878937676859435	0.2566905518543573
eSMRAP	Y9KS29	Deming2017ab42	Yengo2018bmi	5e-8	FALSE	Weighted median	482	0	-0.02414397179740673	0.0208059325669925	0.24587097230111374
eSMRAP	Y9KS29	Deming2017ab42	Yengo2018bmi	5e-8	FALSE	Weighted mode	482	0	-0.049894806513554935	0.053934645658536756	0.35537906707406897
eSMRAP	Y9KS29	Deming2017ab42	Yengo2018bmi	5e-8	FALSE	MR Egger	482	0	0.03279771750407696	0.03652424291643938	0.3696511061489608
OygL9f	G37y00	Deming2017ab42	Yengo2018bmi	5e-6	FALSE	Inverse variance weighted (fixed effects)	657	0	-0.009432711198741174	0.012103330813918109	0.435774525819074
OygL9f	G37y00	Deming2017ab42	Yengo2018bmi	5e-6	FALSE	Weighted median	657	0	-0.02348761093594845	0.020436981825674848	0.25044464763526925
OygL9f	G37y00	Deming2017ab42	Yengo2018bmi	5e-6	FALSE	Weighted mode	657	0	-0.048262764951542136	0.04521590186157841	0.2861907691299836
OygL9f	G37y00	Deming2017ab42	Yengo2018bmi	5e-6	FALSE	MR Egger	657	0	0.0240505316255551	0.03325686150302944	0.46983051813399035
BzI19T	Uyz4Jp	Deming2017ptau	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	494	0	0.017211442945284528	0.016938298862487287	0.3095694715229569
BzI19T	Uyz4Jp	Deming2017ptau	Yengo2018bmi	5e-8	FALSE	Weighted median	494	0	-0.005032136586365719	0.03001597550146461	0.8668597267000508
BzI19T	Uyz4Jp	Deming2017ptau	Yengo2018bmi	5e-8	FALSE	Weighted mode	494	0	-0.012715162741443908	0.04826059803830739	0.7922993367988869
BzI19T	Uyz4Jp	Deming2017ptau	Yengo2018bmi	5e-8	FALSE	MR Egger	494	0	0.03766549669592481	0.04462856314118095	0.3990922234871539
mlL0WC	ugdgRy	Deming2017ptau	Yengo2018bmi	5e-6	FALSE	Inverse variance weighted (fixed effects)	678	0	0.00814760133235654	0.015903848261775485	0.6084384311060065
mlL0WC	ugdgRy	Deming2017ptau	Yengo2018bmi	5e-6	FALSE	Weighted median	678	0	-0.00711352265403313	0.028780712600373654	0.8047822028760321
mlL0WC	ugdgRy	Deming2017ptau	Yengo2018bmi	5e-6	FALSE	Weighted mode	678	0	-0.00902078830083708	0.04697691727470362	0.847779441757006
mlL0WC	ugdgRy	Deming2017ptau	Yengo2018bmi	5e-6	FALSE	MR Egger	678	0	0.04710472042992084	0.04059891315921203	0.24635831896827717
k6qJfR	5BCSKo	Deming2017tau	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	482	0	0.0416300776049126	0.018040608798570855	0.021022725359368732
k6qJfR	5BCSKo	Deming2017tau	Yengo2018bmi	5e-8	FALSE	Weighted median	482	0	0.03322550332923454	0.03315334532946143	0.3162583592839552
k6qJfR	5BCSKo	Deming2017tau	Yengo2018bmi	5e-8	FALSE	Weighted mode	482	0	-0.009275804783576813	0.05314390768373455	0.8615135454425595
k6qJfR	5BCSKo	Deming2017tau	Yengo2018bmi	5e-8	FALSE	MR Egger	482	0	0.03482978415301187	0.04741082808697798	0.46291887622830485
RXyWxM	NctnER	Deming2017tau	Yengo2018bmi	5e-6	FALSE	Inverse variance weighted (fixed effects)	657	0	0.03377785927022061	0.016956233670068783	0.046364317043671714
RXyWxM	NctnER	Deming2017tau	Yengo2018bmi	5e-6	FALSE	Weighted median	657	0	0.03331208148057029	0.02996437892620529	0.26625737884524875
RXyWxM	NctnER	Deming2017tau	Yengo2018bmi	5e-6	FALSE	Weighted mode	657	0	-0.0055985992251317285	0.04961154697531204	0.9101850214821338
RXyWxM	NctnER	Deming2017tau	Yengo2018bmi	5e-6	FALSE	MR Egger	657	0	0.03864848561060895	0.04401108622185017	0.38018247335944455
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	505	1	0.04018174228778258	0.026911949812509533	0.1354157777456819
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	FALSE	Weighted median	505	1	0.1010147962818184	0.047857644012298285	0.0347951101336045
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	FALSE	Weighted mode	505	1	0.1424446574490581	0.08173792002349914	0.08199597395380367
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	FALSE	MR Egger	505	1	0.14530400853916547	0.08500792392029148	0.0880122661795252
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	TRUE	Inverse variance weighted (fixed effects)	504	1	0.04389597377730776	0.02693061368068886	0.1031087684686698
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	TRUE	Weighted median	504	1	0.10126229532417373	0.04614907484469024	0.028217927830798486
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	TRUE	Weighted mode	504	1	0.14238634335191724	0.08327577625398652	0.08791642116971969
OaQY62	10ga5f	Hilbar2017hipv	Yengo2018bmi	5e-8	TRUE	MR Egger	504	1	0.14289940939976964	0.0842812457238069	0.0905994239767713
beGrpt	24z21l	Hilbar2017hipv	Yengo2018bmi	5e-6	FALSE	Inverse variance weighted (fixed effects)	691	0	0.026566164058837063	0.02526768905908793	0.29308007981707496
beGrpt	24z21l	Hilbar2017hipv	Yengo2018bmi	5e-6	FALSE	Weighted median	691	0	0.09914101964350917	0.04230016411716134	0.01909095098049768
beGrpt	24z21l	Hilbar2017hipv	Yengo2018bmi	5e-6	FALSE	Weighted mode	691	0	0.13125490690435893	0.07686077006719685	0.08814239945113791
beGrpt	24z21l	Hilbar2017hipv	Yengo2018bmi	5e-6	FALSE	MR Egger	691	0	0.11896916831207957	0.07434489824019737	0.11000527533017662
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	505	2	-0.009943815199687366	0.002381137804016939	2.9657925442195713e-5
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	FALSE	Weighted median	505	2	-0.007971202252502608	0.003977053855538898	0.04503811666170844
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	FALSE	Weighted mode	505	2	-0.01824859394677797	0.011015925926020461	0.09822988576392792
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	FALSE	MR Egger	505	2	-0.011439654134788299	0.007617575923702565	0.13379054114645142
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	TRUE	Inverse variance weighted (fixed effects)	503	2	-0.009405247703803497	0.0023889838541033205	8.253275522844395e-5
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	TRUE	Weighted median	503	2	-0.0078080898719568486	0.003938710298125063	0.04743475715627668
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	TRUE	Weighted mode	503	2	-0.01867481231826379	0.010510456568388688	0.07620926111197422
2FzTFq	QaXMhD	Grasby2020thickness	Yengo2018bmi	5e-8	TRUE	MR Egger	503	2	-0.00671313422614796	0.007490385705895626	0.37055851685549956
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	FALSE	Inverse variance weighted (fixed effects)	693	2	-0.00932517419255249	0.002233722346285861	2.9834759243757263e-5
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	FALSE	Weighted median	693	2	-0.008206558652329098	0.003650678962393953	0.024579118458870057
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	FALSE	Weighted mode	693	2	-0.01904948892865299	0.010129681064019085	0.06045132290653567
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	FALSE	MR Egger	693	2	-0.01003603419578389	0.006719734102933828	0.13575847852295828
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	TRUE	Inverse variance weighted (fixed effects)	691	2	-0.008848011792262103	0.0022401956697017398	7.826219989406314e-5
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	TRUE	Weighted median	691	2	-0.007955032394255386	0.003960248723287893	0.044566794164333796
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	TRUE	Weighted mode	691	2	-0.019567338300706894	0.010373755709631493	0.059683043410210614
trTy4j	iqYYB2	Grasby2020thickness	Yengo2018bmi	5e-6	TRUE	MR Egger	691	2	-0.006188950252558883	0.006639298631350102	0.351575569166206
3rhhxU	SudLbR	Grasby2020surfarea	Yengo2018bmi	5e-8	FALSE	Inverse variance weighted (fixed effects)	504	3	-502.7889588174147	342.1163136627581	0.14165837814533122
3rhhxU	SudLbR	Grasby2020surfarea	Yengo2018bmi	5e-8	FALSE	Weighted median	504	3	-621.9516623984634	620.8225900932223	0.3164311777113143
3rhhxU	SudLbR	Grasby2020surfarea	Yengo2018bmi	5e-8	FALSE	Weighted mode	504	3	-915.5786076951408	1112.4786268261757	0.4108935510052082
